smiles, karl_weight
[*]C1=NC(=[*])C(=[*])C(=[*])S1,47
[*]N1C[NH+]([*])CC1=[*],32
[*]C1=NC([*])=C([*])C([*])N1[*],38
[*]N1C(=[*])NC(=[*])C([*])([*])N1[*],39
[*]C1([*])CO1,20
[*]C1CC([*])([*])C([*])C([*])([*])C1([*])[*],36
[*]C1NC([*])C([*])O1,33
[*]C1=[N+]([*])C([*])([*])C([*])C1,31
[*]C1=C([*])C[NH+]([*])C1,31
[*]C1([*])CCC([*])([*])C1=[*],30
[*]C1=C([*])NC[NH+]([*])C1,38
[*]c1nncs1,42
[*]=C1CCCC(=[*])C(=[*])N1,43
[*]C(=[*])O,14
[*]C1([*])NC(=[*])C(=[*])C1=[*],31
[*]C1=C([*])C([*])C(=[*])C(=[*])C1,36
[*]N1C=CC(=[*])NC1=[*],38
[*]C1CN([*])CCN([*])C1=[*],44
[*]C1([*])CCCCO1,38
[*]C1=CN([*])C([*])=C([*])C1=[*],37
[*]C1NC(=[*])NC(=[*])C1=[*],38
[*]C12CC3CC(C1)CC([*])(C3)C2,60
[*]C1NC(=[*])NC(=[*])N1[*],39
[*]C1CC(=[*])C=CO1,38
[*]N1CCC(=[*])C(=[*])C1,37
[*]N1CC(=[*])NC1([*])[*],32
[*]CN,13
[*]C1=C([*])N([*])C(=[*])CO1,39
[*]C1=C([*])C([*])([*])C(=[*])O1,32
[*]C1=C([*])C([*])C(=[*])N1,31
[*]C1NN([*])C(=[*])C(=[*])C1=[*],38
[*]C1CCCC([*])C1[*],36
[*]c1nnc([*])[nH]1,33
[*]C1([*])CCSCC1,46
[*]C1CC(=[*])NC(=[*])C(=[*])N1[*],44
[*]C1=CC([*])=C([*])N([*])C1=[*],37
[*]=CCl,23
[*]C1=NC(=[*])N([*])C([*])C1,38
[*]C1=CC(=[*])N([*])N1,32
[*]C1([*])CCCC[NH2+]1,37
[*]C1=C([*])N([*])C(=[*])CC1[*],37
[*]C1([*])CCCC(=[*])C1([*])[*],36
[*]C1CC2CC(=[*])CC1[NH+]2[*],49
[*]C1=NC(=[*])C(=[*])N([*])C1,38
[*]C1CCC([*])C1([*])[*],30
[*]c1ccn([*])c1[*],31
[*]C1=[N+]([*])CC([*])C1[*],31
[*]C1=C([*])NC(=[*])N=C1,38
[*]C1=C([*])C(=[*])CCS1,46
[*]N1CC([*])([*])C1([*])[*],25
[*]=C1CC[NH2+]CC1,37
[*]C1NC(=[*])N([*])C1([*])[*],32
[*]C1CCC([*])([*])C([*])C1[*],36
[*]C1CCCCCC1[*],42
[*]C1=CC([*])C([*])C1[*],30
[*]N1C(=[*])C([*])([*])CS1(=[*])=[*],41
[*]C1=CC(=[*])N([*])C(=[*])N1[*],38
[*]C1=C([*])N([*])NC1=[*],32
[*]C1=[N+]([*])C([*])C([*])[N+]([*])=C1,38
[*]C1=NC(=[*])N([*])N1[*],33
[*]C1([*])CCCCC[NH2+]1,43
[*]C1C2CCC([*])(N2)C([*])C1[*],49
[*]C1C=CSC1[*],40
[*]C1=CC([*])C(=[*])N=C1,37
[*]C1=C([*])S(=[*])(=[*])NC([*])C1=[*],47
[*]C1C[NH+]([*])C([*])([*])C1,31
[*]N1C2CCC1CC(=[*])NC2,56
[*]C1SC(=[*])C([*])C1[*],40
[*]C1=C([*])C(=[*])N([*])C(=[*])C1,37
[*]C1CC2OC1C([*])C2[*],44
[*]C1=CC([*])C([*])=C1[*],30
[*]=C1CCNC(=[*])C1=[*],37
[*]C1=NC(=[*])N([*])C(=[*])C1[*],38
[*]C1NC=[NH+]C1[*],32
[*]C1CC([*])[NH+]=N1,32
[*]C1=C([*])C([*])C([*])C([*])S1,46
[*]N1C=NNC(=[*])C1=[*],39
[*]C1C2OC([*])C([*])([*])C([*])(C1[*])C2([*])[*],50
[*]C1=C([*])C([*])N([*])C1[*],31
[*]C1C2C=CC([*])(C1[*])C2([*])[*],42
[*][NH+]1CC2CCC(C1)C2([*])[*],49
[*]N1CC2CC(C[NH+]([*])C2)C1=[*],56
[*]C1([*])CC[NH2+]C(=[*])C(=[*])N1,44
[*]C1=N[NH+]=C([*])SC1,48
[*]c1nc[nH]n1,33
[*]C1CCC(=[*])CC1[*],36
[*]N1CCCC1([*])[*],31
[*]C1=C([*])N([*])CC([*])C1=[*],37
[*]N1CC2CCCC(C1)C(=[*])N2,62
[*]C1=NC([*])C([*])O1,33
[*]C([*])C([*])([*])[*],12
[*]C1=C([*])N([*])C([*])([*])S1,41
[*]C1N([*])CCC[NH+]1[*],38
[*]=C1CC[NH2+]CC1=[*],37
[*][N+](=[*])C([*])([*])[*],13
[*]C1CCCSC[NH+]1[*],53
[*]N1CC([*])([*])N([*])C(=[*])C1=[*],38
[*]C1=[NH+]C([*])=C([*])NC1=[*],38
[*]C1=C([*])SCC(=[*])N1,47
[*]C1C[NH+]([*])CCS1,47
[*]C1C(=[*])C([*])([*])C(=[*])N([*])C1[*],37
[*]C1([*])CCSC(=[*])N1,47
[*]C1CC[NH2+]C([*])CC1,43
[*]C1=CCC(=[*])C=C1,36
[*]N1NC(=[*])OC1=[*],34
[*]c1cncc([*])n1,38
[*]c1cc(=[*])c(=[*])[n-]1,31
[*]C1=CN([*])C(=[*])C(=[*])N1[*],38
[*]C1C(=[*])C(=[*])C([*])([*])C1=[*],30
[*]N1CCCNC1=[*],38
[*]C1=NC(=[*])C([*])C([*])N1,38
[*]C1C[NH+]([*])CC(=[*])C(=[*])O1,45
[*]N1CC([*])([*])OC(=[*])C(=[*])C1=[*],45
[*]C1=CC([*])C([*])([*])CC1,36
[*]C1=C([*])[N+](=[*])C(=[*])C(=[*])N1[*],38
[*]c1nc[n+]([*])c([*])c1[*],38
[*]C1=C([*])S(=[*])(=[*])N([*])C(=[*])C1=[*],47
[*]C1=CCC2CC1C2([*])[*],42
[*]N1CC2CC(C1)C(=[*])N([*])C2,56
[*]C1NC(=[*])C(=[*])CC(=[*])C1=[*],43
[*]c1cc[nH+]c(=[*])c1=[*],37
[*]N1CCCN1,32
[*]C1=NC([*])SCC1[*],47
[*]C1=CC=CC(=[*])N1[*],37
[*]C1CON([*])C1,33
[*]C1=CC([*])C(=[*])[NH+]=C1[*],37
[*]C1CCNC1([*])[*],31
[*]=C1NC(=[*])C(=[*])O1,33
[*]C1=[NH+]CCNC1[*],38
[*]C1=CC(=[*])C([*])=NN1[*],38
[*]C1SC([*])([*])N([*])C1=[*],41
[*]C1COP([*])(=[*])OC1[*],49
[*]N1CCCC([*])([*])C1,37
[*]n1ccnn1,33
[*]C1=CC([*])=NC1[*],31
[*]C1=NN([*])C([*])=NC1=[*],39
[*]C1([*])OC(=[*])C(=[*])C1([*])[*],32
[*]C1([*])C(=[*])CCCCC1=[*],42
[*]C1=C([*])C(=[*])C([*])([*])O1,32
[*]C1CCC([*])([*])N([*])C1=[*],37
[*]C1=C([*])C(=[*])NN=C1,38
[*]C1=C([*])C(=[*])C(=[*])NC(=[*])C1,43
[*]C1=NN([*])C([*])([*])O1,34
[*]C1CCCNC1=[*],37
[*][NH+]1CC2CCCC(C1)C2=[*],55
[*]C1C[NH2+]CC1([*])[*],31
[*]C1=CC([*])C(=[*])C(=[*])C1=[*],36
[*]C1CNC([*])O1,33
[*]C1=NC(=[*])N([*])S1,42
[*]C1CSC([*])N1[*],41
[*]C1([*])CCCCC1,36
[*]C1=NC(=[*])N([*])N=C1,39
[*]C1=NC(=[*])SS1,51
[*]=C1OCCOCCOCCOC(=[*])C(=[*])OCCOCCOCCOC1=[*],160
[*]C1CC(=[*])NCC[NH+]1[*],44
[*]C1CC([*])([*])[NH2+]C([*])([*])C1,37
[*]=c1ccc[nH+]c1=[*],37
[*]C1=C([*])OC([*])([*])OC1,40
[*]C1CC([*])NC(=[*])N1,38
[*]C1OC(=[*])C(=[*])C([*])N1[*],39
[*]C1CN([*])C(=[*])C(=[*])C[NH2+]1,44
[*]C1=C([*])N([*])S(=[*])(=[*])CC1=[*],47
[*]C1NC(=[*])C(=[*])C1=[*],31
[*]N1S(=[*])(=[*])C(=[*])C(=[*])S1(=[*])=[*],51
[*]c1csc([*])c1,40
[*]c1ccccn1,37
[*]C1=NC(=[*])C([*])C1,31
[*]C1SCC(=[*])N([*])C1[*],47
[*]C1=NC(=[*])C([*])C=C1,37
[*]N1C(=[*])CSCC1=[*],47
[*][NH+]1CC2CCC(C1)O2,51
[*][N-]S[*],23
[*]c1ccc([*])[n+]([*])c1,37
[*]=C[NH+]=[*],13
[*]C1CCCCC([*])C1,42
[*]C1C(=[*])NC(=[*])NC1=[*],38
[*]c1ccc[n+]([*])c1,37
[*]c1cc([*])c([*])o1,32
[*]C1CCC(=[*])C(=[*])C1=[*],36
[*]C1CCOCC[NH+]1[*],45
[*]c1cc(=[*])c(=[*])n1[*],31
[*]N1CC2CCC(C1)O2,51
[*]C1[NH2+]C([*])C(=[*])C1=[*],31
[*]C1=CC([*])=NC1,31
[*]C1=CC([*])C([*])([*])CC1[*],36
[*]C1C(=[*])NC(=[*])C(=[*])C(=[*])C1=[*],43
[*]C1=NNC(=[*])C=C1,38
[*]C1=NC(=[*])C(=[*])SC1[*],47
[*]C1C(=[*])NC(=[*])C(=[*])S1=[*],47
[*]C1=C([*])C(=[*])CCO1,38
[*]C1=C([*])C([*])N([*])C(=[*])C(=[*])N1,44
[*]C1[NH+]=CN([*])C1[*],32
[*]N1C(=[*])NC1([*])[*],26
[*]C1[NH2+]CCC1([*])[*],31
[*]C1OC([*])([*])OCC1([*])[*],40
[*]=C1OC(=[*])C(=[*])C(=[*])C1=[*],38
[*]C1COC(=[*])C(=[*])OC1,46
[*]C1=[NH+]CC([*])([*])S1,41
[*]c1c[nH]c([*])c1,31
[*]C1=CCC[N+]([*])([*])C1[*],37
[*]C1CC(=[*])C(=[*])C1([*])[*],30
[*]C1CC2CCC1CC2([*])[*],48
[*]N1CCC(=[*])NC1([*])[*],38
[*]C1=C([*])CC([*])C=C1,36
[*]C1CCCN1[*],31
[*]=C1CC(=[*])C(=[*])C(=[*])SC1=[*],52
[*]C1=CC([*])CN([*])C1[*],37
[*]C1C(=[*])C(=[*])N([*])C(=[*])N1[*],38
[*]C1=CC2CC(C[NH+]([*])C2[*])C1[*],55
[*]C1C([*])([*])CCC(=[*])C1([*])[*],36
[*]N1CCCN([*])S1(=[*])=[*],48
[*]C1CCC[NH2+]1,31
[*]C1NC(=[*])C1[*],25
[*]C1C(=[*])OC([*])C([*])([*])C1=[*],38
[*]C12CC3CC(CC(C3)C1)C2,60
[*][N+]([*])([*])C,13
[*]C1CSC(=[*])C(=[*])NC1=[*],53
[*]C1=CN=C([*])C1[*],31
[*]c1ncc[nH]1,32
[*]C1CN([*])CCS1,47
[*]C1=CC(=[*])NN1[*],32
[*]N1C(=[*])CNCC1([*])[*],38
[*]C1=CN=CN([*])C1=[*],38
[*]C1CC(=[*])C([*])C([*])C1[*],36
[*]C1OC(=[*])C([*])C1=[*],32
[*]c1ccn[nH]1,32
[*]C1OC(=[*])N([*])C1[*],33
[*]N1CCN([*])C1,32
[*]N1C(=[*])C=CNC1=[*],38
[*]C1CC(=[*])C(=[*])CO1,38
[*]C1OCCO1,34
[*]C1CCCC([*])([*])CC1,42
[*]SC([*])([*])[*],22
[*]#CI,59
[*]C1CC(=[*])C([*])([*])C(=[*])C1[*],36
[*]C1N=NNN1,34
[*]C1CSC([*])C(=[*])N1,47
[*]c1[nH]c([*])[n+]([*])c1[*],32
[*]C1C2C=CC(CC2)[NH+]1[*],49
[*]#CCl,23
[*]C1=CN([*])C([*])C=C1,37
[*]=C1CC(=[*])C(=[*])C(=[*])C1=[*],36
[*]C1=NC(=[*])N([*])P([*])(=[*])N1,48
[*]C1OC(=[*])CCC([*])([*])C1([*])[*],44
[*]c1ncoc1[*],33
[*]C1=CC([*])=NNC1=[*],38
[*]C1=CN([*])C(=[*])C([*])=N1,38
[*]C1=NNC(=[*])C(=[*])S1(=[*])=[*],48
[*]C1SCCS1,50
[*]C1CC(=[*])N([*])C1([*])[*],31
[*]C1CCCOC(=[*])C1=[*],44
[*]C1C(=[*])C(=[*])OC([*])([*])C1[*],38
[*]C1SCCNC1=[*],47
[*]C1=C([*])C([*])C(=[*])CC1,36
[*]C1CSCCSC1,62
[*]C1C(=[*])N[N+](=[*])C1[*],32
[*]C1=C([*])NC([*])([*])CCN1,44
[*]C1=C([*])N([*])N([*])C(=[*])S1,48
[*]N1C(=[*])C(=[*])CC1([*])[*],31
[*]C1C(=[*])C(=[*])N([*])C1=[*],31
[*]C1([*])CCC(=[*])OC([*])([*])C1([*])[*],44
[*]C1=[NH+]CN([*])C(=[*])N1,39
[*]C1=C([*])S(=[*])(=[*])N([*])C1=[*],41
[*]C1=NC(=[*])C([*])=[NH+]1,32
[*]C1CCCSC1,46
[*]C1C(=[*])OC(=[*])C(=[*])C1[*],38
[*]C1CC(=[*])N1,25
[*]C1C(=[*])C(=[*])C(=[*])C([*])([*])C1([*])[*],36
[*]C1[NH2+]C([*])C([*])C1[*],31
[*][N+]1([*])C(=[*])C(=[*])C(=[*])C1=[*],31
[*]=C1COC(=[*])C(=[*])N1,39
[*]C1=NN=C([*])N([*])C1=[*],39
[*]C1=C([*])C([*])NC(=[*])C(=[*])N1,44
[*]C1C(=[*])C(=[*])N([*])C(=[*])C1[*],37
[*]C1=NCCCN1[*],38
[*]C1=CC(=[*])OC(=[*])C1=[*],38
[*]C(=[*])[N+]#[*],13
[*]C1C(=[*])C(=[*])CCCCCCC1([*])[*],60
[*]C1=NC([*])C([*])C(=[*])N1,38
[*]C1CSC(=[*])C1=[*],40
[*]C1=C([*])N([*])C(=[*])C1,31
[*]C1=C([*])OC([*])CC1,38
[*]C1=C([*])C([*])C([*])CCO1,44
[*]N[NH3+],14
[*]C1NN([*])C(=[*])C1=[*],32
[*]c1cn[n-]n1,33
[*]C1CNC(=[*])C(=[*])[NH+]1[*],38
[*]C1C2C(=[*])C(=[*])C(C(=[*])C2=[*])C1([*])[*],48
[*]C1CCC(=[*])C(=[*])C([*])C1[*],42
[*]C1=C([*])S(=[*])(=[*])N([*])CC1[*],47
[*]C1=C([*])CC([*])([*])OC1,38
[*]=C1CCCNC1=[*],37
[*]=C1OCCOC1=[*],40
[*]C1CN([*])NC1=[*],32
[*]C1CCN([*])CC[NH2+]1,44
[*]C1NN([*])C(=[*])N([*])N1,40
[*]C1=CC(=[*])N([*])C=C1,37
[*]C1=C([*])S(=[*])(=[*])NCN1,48
[*]C1=C([*])C([*])=C([*])N([*])C1=[*],37
[*]C1NSNC1[*],42
[*]C1=CC([*])=C([*])OC1=[*],38
[*]C1CSC([*])([*])[NH2+]1,41
[*]C1CCC([*])([*])C([*])([*])C1[*],36
[*]c1[nH]c(=[*])c(=[*])c1[*],31
[*]C1=NNC(=[*])CC1,38
[*]N1C(=[*])COC(=[*])C1=[*],39
[*]C1=NC(=[*])C([*])([*])N1[*],32
[*]C1=C([*])C([*])CC([*])([*])O1,38
[*]NC=[*],13
[*]C1=C([*])C([*])([*])OCC1[*],38
[*]N1CCCSC(=[*])C1=[*],53
[*]C(=[*])[NH+]([*])[*],13
[*]C1CCC2([*])C=CC1([*])C2,48
[*]C1=COC([*])([*])CC1,38
[*]C1CC(=[*])C1,24
[*]C1C(=[*])COC1=[*],32
[*]=C1COC(=[*])C(=[*])C(=[*])N1,45
[*]C1C(=[*])N([*])N([*])C1[*],32
[*]C1C([*])C2C=CC1C([*])C2[*],48
[*]C1C[NH2+]CCCO1,45
[*]C1([*])OC(=[*])C(=[*])O1,34
[*]C1CN([*])CCC[NH+]1[*],44
[*]C1=NC([*])C(=[*])C([*])=N1,38
[*]C1CC(=[*])OC([*])C1[*],38
[*]C1=CC([*])=C([*])C1=[*],30
[*]c1cnc([*])[nH]1,32
[*]c1ccc([*])c([*])c1,36
[*]C1([*])CC([*])([*])C([*])([*])C1,30
[*]C(=[*])[N+]([*])([*])[*],13
[*]C1CN([*])CC([*])[NH2+]1,38
[*]C1CC=CCC1([*])[*],36
[*]c1nc(=[*])c(=[*])[nH]1,32
[*]C1C([*])C([*])C([*])C([*])([*])C([*])C1[*],42
[*]C1=[N+]([*])CCN([*])C1=[*],38
[*]C1CC=NN1[*],32
[*][N+]12CCN(CC1)CC2,50
[*]N1CCCNC(=[*])C1,44
[*]C1=NC(=[*])C([*])([*])C(=[*])N1,38
[*]C1N([*])CC[NH2+]C1([*])[*],38
[*]C1=C([*])OC([*])C(=[*])N1,39
[*]C1=C([*])C([*])C([*])([*])C([*])C1,36
[*]N1CC(=[*])C(=[*])C([*])([*])C1,37
[*]C1C(=[*])N([*])C(=[*])N([*])C1=[*],38
[*]C1CC=CO1,32
[*]N=C([*])[*],13
[*]c1nc(=[*])c(=[*])[n-]1,32
[*]C1=CN([*])C([*])=NC1=[*],38
[*]C1=[N+]([*])C(=[*])C(=[*])C1=[*],31
[*]N1CC2([*])CN([*])CC([*])(C1)C2=[*],56
[*]C1=NC([*])([*])C([*])=N1,32
[*]C1=CC(=[*])C([*])CC1[*],36
[*]=C1CC(=[*])C(=[*])C(=[*])CC1=[*],42
[*]c1nsc([*])c1[*],41
[*]C1([*])CC(=[*])C([*])([*])CO1,38
[*]C1CN([*])CCCO1,45
[*]C1=C([*])C[NH+]([*])CCC1,43
[*]c1nc(=[*])c(=[*])n1[*],32
[*]C1=CCCC1[*],30
[*]C1=CC([*])CC(=[*])C(=[*])C1=[*],42
[*]C1=CCOCC1,38
[*]N1CCCC([*])([*])C(=[*])C1=[*],43
[*]C1=CCCOC1,38
[*]C1C=CC([*])([*])C1([*])[*],30
[*]N1CC2CCC(CC1=[*])N2[*],56
[*]C1CS(=[*])(=[*])CC1([*])[*],40
[*]C1=C([*])OC(=[*])C(=[*])C=C1,44
[*]C1=NC(=[*])C([*])=C1[*],31
[*]C1CSC([*])N1,41
[*]C1=CCC([*])C([*])C1=[*],36
[*]C1COC([*])([*])C([*])C1[*],38
[*][NH+]1C([*])([*])COC1([*])[*],33
[*][N+](=[*])S([*])(=[*])=[*],23
[*]C1=NC([*])C([*])=C([*])C1=[*],37
[*]C1OC(=[*])C([*])([*])C(=[*])C1[*],38
[*]C1CC(=[*])C2OCC1O2,52
[*]C1CCSC(=[*])C1=[*],46
[*]C1=CN([*])N([*])C1=[*],32
[*]C1OCC(=[*])N1[*],33
[*]C1=C([*])N([*])CC([*])C1[*],37
[*]N1N=CC=NC1=[*],39
[*]C1=CC(=[*])C([*])=C([*])N1,37
[*][NH2+]C=[*],13
[*]C1=C([*])C([*])([*])C([*])C([*])C1=[*],36
[*]C1C([*])C2C([*])([*])C([*])C1C2([*])[*],42
[*]C1=NC(=[*])C([*])=C([*])N1[*],38
[*]c1[nH+]c([*])c([*])s1,41
[*]C1CC2CCC(C1)[NH2+]2,49
[*]C1NS(=[*])(=[*])C(=[*])C(=[*])C1[*],47
[*]C1=[NH+]C([*])C([*])N1[*],32
[*]C1=CCCC([*])([*])C1=[*],36
[*]C1=CC([*])C([*])([*])C([*])C1,36
[*]C1CC(=[*])C(=[*])C([*])[NH2+]1,37
[*]C1=CN([*])C(=[*])C=N1,38
[*]C1=CN([*])C=CC1=[*],37
[*]c1cc([*])c([*])[nH]1,31
[*]C1=NNC([*])N([*])C1=[*],39
[*]C1=C([*])C([*])NC([*])CC1=[*],43
[*]C1C([*])N([*])CCN1[*],38
[*]=C1COCC(=[*])OCCOCCSCCOCCO1,128
[*]C1=C([*])C([*])C([*])=C([*])S1,46
[*]C1=C([*])C([*])=C([*])C([*])C1,36
[*]C1=NC(=[*])C([*])N=N1,39
[*]C1N=NC(=[*])C(=[*])N1[*],39
[*]N1C(=[*])OC(=[*])C(=[*])C1=[*],39
[*]C1CN([*])C(=[*])C(=[*])C(=[*])O1,45
[*]C1C[NH+]([*])CC1([*])[*],31
[*]C1CC2CCC1N2[*],43
[*]C1NS(=[*])(=[*])NC1[*],42
[*]C1CC(=[*])C([*])[NH+]([*])C1,37
[*]=c1oc(=[*])c(=[*])c1=[*],32
[*]C1CCCC[N+]1=[*],37
[*]C1([*])CCSC(=[*])C1=[*],46
[*]C1=CC(=[*])N=C([*])N1[*],38
[*]C1OCCC(=[*])C1=[*],38
[*]C1CCC(=[*])C([*])([*])C1=[*],36
[*]C1=NNC(=[*])SC1,48
[*][N-][NH+]=[*],14
[*]C1=[NH+]C(=[*])NN1,33
[*]C1C([*])C2([*])C=CC1([*])O2,44
[*]C1=CC(=[*])N=C([*])N1,38
[*]C1=CC([*])[NH+]([*])CC1([*])[*],37
[*]C1=CCC([*])C([*])C1,36
[*]C1CC([*])C([*])C(=[*])C1=[*],36
[*]C([*])I,59
[*][N+]1=CCSC1=[*],41
[*]N1C(=[*])C(=[*])C(=[*])OC1([*])[*],39
[*]C1=[N+]([*])C([*])C([*])C1,31
[*]C1=NC([*])([*])NC([*])=C1[*],38
[*]C1=C([*])C([*])C([*])([*])CS1,46
[*]c1nc[nH+]c([*])c1[*],38
[*]C1CC([*])[N+]([*])([*])C1[*],31
[*]N1CCCC1,31
[*]N1CC(=[*])N([*])C(=[*])C(=[*])C1=[*],44
[*]c1n[n-]nc1[*],33
[*]C1OC(=[*])C(=[*])C(=[*])C1=[*],38
[*]=C1NC=CN1,32
[*]C1C(=[*])N([*])C(=[*])N1[*],32
[*]C1C(=[*])OC(=[*])C(=[*])N1[*],39
[*]C1=C([*])C([*])([*])C([*])C1,30
[*]C1=C([*])C([*])C(=[*])C([*])N1,37
[*]C1CC(=[*])C([*])C([*])[NH2+]1,37
[*]C1=C([*])C(=[*])CO1,32
[*]C1CC(=[*])C(=[*])S(=[*])C(=[*])C1=[*],52
[*]c1nc([*])n([*])n1,33
[*]C1SCCCC1([*])[*],46
[*]C1=NCC([*])S1,41
[*]C1=NC(=[*])C(=[*])N([*])C1=[*],38
[*]N1CCC(=[*])C(=[*])C1=[*],37
[*]C1C(=[*])N([*])C=CN1[*],38
[*]C1CCC([*])C([*])C([*])([*])C1[*],42
[*]C(=[*])C=[*],12
[*]C1=NOC([*])C1,33
[*]N1NC(=[*])C(=[*])C1=[*],32
[*]N1C(=[*])C([*])([*])NC1([*])[*],32
[*]C1=C([*])C([*])([*])C([*])([*])C([*])N1,37
[*]C1SCCC(=[*])C1=[*],46
[*]C1C=CC(=[*])C([*])([*])C1[*],36
[*]C1C([*])N1[*],19
[*]C1CCNC(=[*])C(=[*])N1,44
[*]C1=CC=C([*])C([*])([*])C1,36
[*]C([*])N([*])[*],13
[*]C1CCN([*])CC1=[*],37
[*]C1([*])CC[N+]([*])([*])CC(=[*])C1=[*],43
[*]C1=C([*])C([*])C([*])([*])CC1,36
[*]C1=CN([*])C(=[*])C([*])=C1,37
[*]c1nc(=[*])c(=[*])c([*])[n+]1[*],38
[*]c1cc([*])c([*])c[nH+]1,37
[*]c1cc(=[*])c(=[*])c([*])c1[*],36
[*]C1=C([*])C([*])([*])C([*])([*])O1,32
[*]C1=CCCC([*])([*])C1[*],36
[*][NH+]1CC(=[*])C(=[*])C(=[*])C1,37
[*]N1C(=[*])NC([*])([*])CC1([*])[*],38
[*]c1nc([*])c([*])c[nH+]1,38
[*]C1=C([*])C([*])([*])C([*])C1=[*],30
[*]C1=C([*])C([*])[NH2+]C([*])([*])C1,37
[*]N1CCCCCC1,43
[*][NH+]1CC2CCC1C2,43
[*]C1CC(=[*])OC(=[*])C1=[*],38
[*]C1=CN=NC1[*],32
[*]C1=C([*])CC([*])NC1,37
